NAZWA,LAT,LNG,X,Y,PROPONOWANA LOKALIZACJA,RODZAJ PROJEKTU (DUŻE/MAŁE),INFORMACJA O DOPUSZCZENIU,SUMA GŁOSÓW WAŻNYCH
"Zielona promenada ""biegiem"" Silnicy- ścieżki biegowe i Nordic Walking- I etap",50.8921789397,20.6341695786,7474262.098,5639720.399,"Obręby 0006, 0010, 0015, 0016, działki graniczne 274/1 i 849/1- działki miejskie wzdłuż rzeki Silnica- ok. 9 km trasy- do uzgodnienia w trakcie wytyczania, proponowane działki na urządzenia 915/98, 915/51 obręb 0006, 186/1, 186/4, 681/2, 293 obręb 0010",,ZADANIE ODRZUCONE,
Budowa boisk- do piłki ręcznej/ siatkówki i do kosza na Osiedlu Dąbrowa II w Kielcach,50.9069434014,20.6697678566,7476773.946,5641350.955,"Kielce, Osiedle Dąbrowa II, obręb 007, działka nr 2473",,ZADANIE ODRZUCONE,
Modernizacja chodników i miejsc parkingowych przy ul. Petyhorskiej,50.8542821509,20.6178081036,7473089.180,5635510.713,"Ulica Petyhorska, obręb 0023, nr działki 471/66, 471/75, 474/77, 471/77",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,196
Modernizacja zapomnianego osiedla w centrum Kielc- ul. Józefa Bema,50.8614102505,20.6341910362,7474246.655,5636297.778,"Ulica Józefa Bema, pomiędzy ulicą Stefana Żeromskiego i Wojska Polskiego, obejmująca 11 bloków mieszkalnych, w blokach mieszka ok. 150 rodzin",,ZADANIE ODRZUCONE,
Osiedle Czarnów. Wykonianie ścieżki dla pieszych do kościoła Miłosierdzia Bożego i Hospicjum z płyt chodnikowych lub kostki ceramicznej,50.8764687986,20.6041288376,7472139.228,5637983.752,Wejście od ul. Piekoszowskiej między blokami 46 i 46A zagajnikiem do kościoła. Obecnie prowizorka z połamanych płyt chodnikowych,Duże (powyżej 150 tys. zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,1062
Osiedle Czarnów- remont chodnika i przystosowanie go do przejazdu samochodów pogotowia ratunkowego oraz innych pojazdów uprzywilejowanych,50.8753416072,20.6037479639,7472111.750,5637858.511,Połączenie ul. Piekoszowskiej wzdłuż bloku 47 do ul. Grunwaldzkiej. Działka nr 107/19 obręb 0009,,ZADANIE ODRZUCONE,
Event Budzenie Sienkiewki w dn. 01-04.06.2017,50.8712760449,20.6275928020,7473787.667,5637397.538,"cała ulica Sienkiewicza, Plac Literatów, Plac Artystów, Rynek",,ZADANIE ODRZUCONE,
Bajkowy plac zabaw,50.8682630347,20.6192779541,7473200.690,5637065.364,"nr działek: 625,631/65,631/69 ob. 0016, Przedszkole Samorządowe nr 13 ul. Karczówkowska 8, 25-019 Kielce",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,1203
Event Budzenie Sienkiewki styczeń 2017 ( dokładny termin w ustaleniu w oparciu o termin rozpoczęcia ferii szkolnych w woj. świętokrzyskim),50.8712828155,20.6275177002,7473782.384,5637398.317,"cała ulica Sienkiewicza, Plac Literatów, Plac Artystów, Rynek",,ZADANIE ODRZUCONE,
"Przebudowa ul. Legnickiej na odcinku od ul. Dalekiej do ul. Romualda- poszerzenie wraz z wykonaniem miejsc parkingowych oraz przebudową skrzyżowania z ul. Romualda, wymiana nawierzchni",50.8726166025,20.6458640099,7475074.419,5637540.332,ul. Legnicka od ul. Dalekiej do ul. Romualda wraz ze skrzyżowaniem z ul. Romualda,,ZADANIE ODRZUCONE,
